locs,hp_DHW,tes_DHW,hp_SH_DHW_floor,hp_SH_floor,tes_floor_energy_cap,tes_floor_heating
R1,1377400.0,9109201.11111,195359.00097780002,117066.00002220001,312425.001,476901.000677777
R2,39780.0,261857.555555999,4064.0006912,6383.000308799999,10447.001,13837.0000555555
R3,2030200.0,12561255.7778,875264.0005579999,320125.000442,1195389.001,1753817.00072222
R4,128980.0,839990.666667,0.0,44438.0,44438.0,63069.0000666666
R5,463360.0,3223685.11111,493650.000444,98469.000556,592119.001,933454.000744444
R6,212660.0,1533936.44444,80706.000408,38329.000592,119035.001,188114.00018888802
R7,418039.999999999,2495786.22222,37561.000596,25994.000404,63555.001,98859.0003666666
R8,467020.0,2955781.11111,497414.0006008,78563.00039920001,575977.001,862618.000322222
R9,532700.0,3449264.0,243443.0001912,62928.0008087999,306371.0009999999,463087.000877777
R10,112900.0,763247.333333,65331.000063,18458.000937,83789.001,132486.0009
R11,107320.0,694876.0,137196.00053,21853.00047,159049.001,240508.000955555
R12,1464880.0,8913389.33333,213856.000632,146171.000368,360027.001,533761.000511111
R13,132400.0,928826.888888999,107175.0,20703.0,127878.0,191393.000222222
R14,818120.0,5220407.11111,85755.000075,34602.000925,120357.001,188509.000533333
R15,44760.0,337670.666667,11531.000655,2574.0003450000004,14105.001,21604.0004111111
R16,505660.0,3496705.33333,164201.0003742,28500.0006258,192701.001,290392.000122222
R17,103959.999999999,736736.0,20435.0,4369.0,24804.0,39743.0007444444
R18,439360.0,3174383.33333,13572.000126,10637.000874,24209.001,38767.0000111111
SARD,778360.0,5981328.88889,0.0,33188.0,33188.0,53697.0000777777
SICI,726580.0,5055757.77778,72806.00091,24243.00009,97049.001,156858.000722222
